City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ghat,24.9647,10.1728,27.17,18,0,1.32,LY,2024-10-25 18:58:54+00:00
1,port-aux-francais,-49.35,70.2167,2.25,67,48,10.32,TF,2024-10-25 18:53:09+00:00
2,olonkinbyen,70.9221,-8.7187,-1.56,64,100,8.59,SJ,2024-10-25 18:54:10+00:00
3,taoudenni,22.6783,-3.9836,29.2,22,0,3.79,ML,2024-10-25 19:00:03+00:00
4,kerikeri,-35.2268,173.9474,18.28,93,100,4.47,NZ,2024-10-25 19:00:04+00:00
5,avarua,-21.2078,-159.775,23.03,73,40,5.66,CK,2024-10-25 19:00:06+00:00
6,stanley,54.868,-1.6985,11.82,98,100,1.54,GB,2024-10-25 18:54:40+00:00
7,tsiombe,-25.3,45.4833,22.05,74,6,1.92,MG,2024-10-25 19:00:08+00:00
8,coquimbo,-29.9533,-71.3436,19.43,53,0,7.72,CL,2024-10-25 18:58:43+00:00
9,kizhinga,51.8462,109.9097,-5.07,55,2,1.15,RU,2024-10-25 19:00:10+00:00
10,misratah,32.3754,15.0925,22.69,55,100,6.08,LY,2024-10-25 19:00:11+00:00
11,laguna,38.421,-121.4238,21.79,41,0,2.57,US,2024-10-25 18:51:11+00:00
12,hawaiian paradise park,19.5933,-154.9731,24.93,95,100,2.57,US,2024-10-25 19:00:14+00:00
13,invercargill,-46.4,168.35,7.23,83,100,3.13,NZ,2024-10-25 18:50:42+00:00
14,nadym,65.5333,72.5167,-4.02,96,93,4.15,RU,2024-10-25 19:00:16+00:00
15,puerto natales,-51.7236,-72.4875,8.25,66,100,15.43,CL,2024-10-25 18:56:27+00:00
16,anzhero-sudzhensk,56.081,86.0285,7.29,78,95,7.07,RU,2024-10-25 19:00:18+00:00
17,gunnedah,-30.9833,150.25,8.53,85,100,2.45,AU,2024-10-25 19:00:19+00:00
18,pitimbu,-7.4706,-34.8086,26.73,63,50,5.08,BR,2024-10-25 19:00:21+00:00
19,ushuaia,-54.8,-68.3,4.81,81,75,16.98,AR,2024-10-25 18:57:11+00:00
20,nova sintra,14.8667,-24.7167,27.07,78,99,7.93,CV,2024-10-25 19:00:23+00:00
21,port elizabeth,-33.918,25.5701,16.16,95,75,6.69,ZA,2024-10-25 18:51:30+00:00
22,touros,-5.1989,-35.4608,26.72,64,100,6.51,BR,2024-10-25 19:00:25+00:00
23,qaqortoq,60.7167,-46.0333,-0.18,68,0,11.7,GL,2024-10-25 18:57:24+00:00
24,waddan,29.1614,16.139,21.23,38,3,5.09,LY,2024-10-25 19:00:29+00:00
25,galliano,29.4422,-90.2992,27.0,54,0,2.57,US,2024-10-25 19:00:30+00:00
26,palikir - national government center,6.9248,158.1611,28.66,66,97,2.31,FM,2024-10-25 19:00:31+00:00
27,bilibino,68.0546,166.4372,-17.42,92,100,1.3,RU,2024-10-25 18:53:24+00:00
28,haiku-pauwela,20.9219,-156.3051,24.57,84,75,3.58,US,2024-10-25 18:53:29+00:00
29,iqaluit,63.7506,-68.5145,-0.15,69,75,4.63,CA,2024-10-25 18:53:53+00:00
30,kakata,6.53,-10.3517,24.49,96,100,2.54,LR,2024-10-25 19:00:36+00:00
31,grytviken,-54.2811,-36.5092,1.55,100,100,3.22,GS,2024-10-25 18:53:43+00:00
32,marsa alam,25.0757,34.8918,24.03,56,0,5.04,EG,2024-10-25 19:00:38+00:00
33,dikhil,11.5,42.1667,26.56,66,9,4.95,DJ,2024-10-25 18:57:00+00:00
34,edinburgh of the seven seas,-37.0676,-12.3116,12.56,66,100,5.57,SH,2024-10-25 18:53:11+00:00
35,pisco,-13.7,-76.2167,20.03,77,20,4.12,PE,2024-10-25 19:00:41+00:00
36,uturoa,-16.7333,-151.4333,25.91,76,100,10.58,PF,2024-10-25 18:56:28+00:00
37,jinka,5.65,36.65,18.82,77,39,1.6,ET,2024-10-25 19:00:44+00:00
38,bethel,41.3712,-73.414,17.32,40,0,3.6,US,2024-10-25 18:49:46+00:00
39,auki,-8.7676,160.7034,24.25,90,18,1.33,SB,2024-10-25 19:00:46+00:00
40,udachny,66.4167,112.4,-20.24,100,99,1.63,RU,2024-10-25 19:00:47+00:00
41,youkounkoun,12.5333,-13.1333,28.53,72,11,1.22,GN,2024-10-25 19:00:48+00:00
42,waitangi,-43.9535,-176.5597,13.23,98,84,5.17,NZ,2024-10-25 18:54:34+00:00
43,wailua homesteads,22.0669,-159.378,25.44,87,0,3.09,US,2024-10-25 18:53:48+00:00
44,inhambane,-23.865,35.3833,23.8,91,0,2.46,MZ,2024-10-25 19:00:52+00:00
45,vadso,70.0744,29.7487,9.09,76,0,12.86,NO,2024-10-25 19:00:53+00:00
46,albany,42.6001,-73.9662,14.96,52,8,0.89,US,2024-10-25 18:53:39+00:00
47,tobelo,1.7284,128.0095,26.69,80,34,1.92,ID,2024-10-25 19:00:55+00:00
48,goundam,16.4145,-3.6708,33.83,16,100,4.58,ML,2024-10-25 19:00:57+00:00
49,yasuj,30.6682,51.588,10.75,50,0,0.0,IR,2024-10-25 19:00:58+00:00
50,dalnegorsk,44.5604,135.5701,3.38,78,100,2.79,RU,2024-10-25 19:01:00+00:00
51,papatowai,-46.5619,169.4708,6.48,74,100,4.72,NZ,2024-10-25 18:53:23+00:00
52,gao,16.6362,1.637,33.17,10,4,4.5,ML,2024-10-25 19:01:02+00:00
53,kodiak,57.79,-152.4072,6.73,93,100,5.14,US,2024-10-25 19:01:03+00:00
54,ca mau,9.1769,105.15,25.03,94,100,1.97,VN,2024-10-25 19:01:05+00:00
55,yellowknife,62.456,-114.3525,-1.44,82,20,3.6,CA,2024-10-25 18:53:13+00:00
56,bac kan,22.1333,105.8333,18.44,70,94,1.42,VN,2024-10-25 19:01:07+00:00
57,ilheus,-14.7889,-39.0494,28.9,70,40,5.14,BR,2024-10-25 19:01:08+00:00
58,kendari,-3.945,122.4989,23.62,94,100,1.33,ID,2024-10-25 19:01:09+00:00
59,labrador city,52.9463,-66.9114,5.66,44,40,29.95,CA,2024-10-25 19:01:10+00:00
60,anadyr,64.75,177.4833,-2.72,86,75,9.0,RU,2024-10-25 19:01:11+00:00
61,kill devil hills,36.0307,-75.676,19.43,51,0,2.57,US,2024-10-25 18:56:38+00:00
62,sakaraha,-22.9,44.5333,20.95,71,9,0.2,MG,2024-10-25 19:01:14+00:00
63,dolores,-36.3132,-57.6792,14.28,77,100,3.24,AR,2024-10-25 18:57:29+00:00
64,ilulissat,69.2167,-51.1,0.01,64,75,8.75,GL,2024-10-25 18:54:41+00:00
65,thompson,55.7435,-97.8558,1.09,69,40,5.66,CA,2024-10-25 19:01:17+00:00
66,lebu,-37.6167,-73.65,12.59,65,0,9.65,CL,2024-10-25 19:01:18+00:00
67,bafra,41.5678,35.9069,12.69,80,83,2.72,TR,2024-10-25 19:01:19+00:00
68,ystad,55.4297,13.8204,11.46,90,1,2.31,SE,2024-10-25 19:01:21+00:00
69,kitami,43.8031,143.8908,5.94,79,7,1.58,JP,2024-10-25 19:01:22+00:00
70,nemuro,43.3236,145.575,13.81,77,1,5.64,JP,2024-10-25 19:01:24+00:00
71,al ghayzah,16.2079,52.176,27.57,76,41,3.8,YE,2024-10-25 19:01:25+00:00
72,sisimiut,66.9395,-53.6735,-0.89,85,100,10.31,GL,2024-10-25 19:01:27+00:00
73,kavaratti,10.5669,72.642,27.75,82,43,2.4,IN,2024-10-25 19:01:29+00:00
74,puerto ayora,-0.7393,-90.3518,21.97,91,72,4.02,EC,2024-10-25 18:54:56+00:00
75,adamstown,-25.066,-130.1015,20.69,75,100,7.66,PN,2024-10-25 18:49:25+00:00
